datetime,call_sym,put_sym,data_call,data_put,straddleValue
2021-07-28 09:16:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,70.35,54.0,124.35
2021-07-28 09:17:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,59.55,64.6,124.15
2021-07-28 09:18:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,57.75,63.75,121.5
2021-07-28 09:19:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,77.75,49.35,127.1
2021-07-28 09:20:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,80.6,46.85,127.45
2021-07-28 09:21:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,79.35,48.0,127.35
2021-07-28 09:22:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,74.05,52.3,126.35
2021-07-28 09:23:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,74.05,51.5,125.55
2021-07-28 09:24:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,50.7,75.6,126.3
2021-07-28 09:25:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,72.65,52.3,124.95
2021-07-28 09:26:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,72.25,52.2,124.45
2021-07-28 09:27:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,50.0,74.6,124.6
2021-07-28 09:28:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,73.15,52.15,125.3
2021-07-28 09:29:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,50.0,74.15,124.15
2021-07-28 09:30:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,51.8,70.5,122.3
2021-07-28 09:31:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,48.4,75.1,123.5
2021-07-28 09:32:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,72.3,51.25,123.55
2021-07-28 09:33:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,48.6,74.3,122.9
2021-07-28 09:34:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,47.85,74.8,122.65
2021-07-28 09:35:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,50.6,69.65,120.25
2021-07-28 09:36:00,NIFTY29JUL2115700CE,NIFTY29JUL2115700PE,50.05,68.3,118.35
2021-07-28 09:37:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,71.5,50.15,121.65
2021-07-28 09:38:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,70.9,50.45,121.35
2021-07-28 09:39:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,70.5,52.3,122.8
2021-07-28 09:40:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,67.95,55.0,122.95
2021-07-28 09:41:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,66.15,56.85,123.0
2021-07-28 09:42:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,63.05,61.2,124.25
2021-07-28 09:43:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.55,69.35,129.9
2021-07-28 09:44:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,63.4,62.0,125.4
2021-07-28 09:45:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,61.85,65.75,127.6
2021-07-28 09:46:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,58.9,66.2,125.1
2021-07-28 09:47:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,61.45,65.85,127.3
2021-07-28 09:48:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,62.55,64.75,127.3
2021-07-28 09:49:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.7,65.6,126.3
2021-07-28 09:50:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,57.0,71.5,128.5
2021-07-28 09:51:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,57.2,70.55,127.75
2021-07-28 09:52:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,58.4,66.55,124.95
2021-07-28 09:53:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,59.5,63.8,123.3
2021-07-28 09:54:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,59.5,65.25,124.75
2021-07-28 09:55:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.15,63.7,123.85
2021-07-28 09:56:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,57.0,69.0,126.0
2021-07-28 09:57:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,57.2,68.8,126.0
2021-07-28 09:58:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,59.0,66.25,125.25
2021-07-28 09:59:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,59.35,65.4,124.75
2021-07-28 10:00:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,61.75,59.9,121.65
2021-07-28 10:01:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,64.0,56.35,120.35
2021-07-28 10:02:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,63.0,57.65,120.65
2021-07-28 10:03:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.7,60.4,121.1
2021-07-28 10:04:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,59.25,62.8,122.05
2021-07-28 10:05:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,58.0,64.35,122.35
2021-07-28 10:06:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.8,60.8,121.6
2021-07-28 10:07:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,63.2,56.55,119.75
2021-07-28 10:08:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,62.8,57.85,120.65
2021-07-28 10:09:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,62.25,58.35,120.6
2021-07-28 10:10:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.15,61.0,121.15
2021-07-28 10:11:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,57.65,64.0,121.65
2021-07-28 10:12:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.0,61.6,121.6
2021-07-28 10:13:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.75,60.85,121.6
2021-07-28 10:14:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,60.25,62.7,122.95
2021-07-28 10:15:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,59.05,63.25,122.3
2021-07-28 10:16:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,61.45,59.85,121.3
2021-07-28 10:17:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,57.75,64.85,122.6
2021-07-28 10:18:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,57.15,65.55,122.7
2021-07-28 10:19:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,54.95,67.9,122.85
2021-07-28 10:20:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,56.7,65.6,122.3
2021-07-28 10:21:00,NIFTY29JUL2115650CE,NIFTY29JUL2115650PE,52.4,70.9,123.3
2021-07-28 10:22:00,NIFTY29JUL2115600CE,NIFTY29JUL2115600PE,76.35,51.1,127.45
2021-07-28 10:23:00,NIFTY29JUL2115600CE,NIFTY29JUL2115600PE,76.7,49.6,126.3
2021-07-28 10:24:00,NIFTY29JUL2115600CE,NIFTY29JUL2115600PE,73.45,53.3,126.75
2021-07-28 10:25:00,NIFTY29JUL2115600CE,NIFTY29JUL2115600PE,70.25,55.9,126.15
2021-07-28 10:26:00,NIFTY29JUL2115600CE,NIFTY29JUL2115600PE,73.25,54.85,128.1
2021-07-28 10:27:00,NIFTY29JUL2115600CE,NIFTY29JUL2115600PE,73.25,55.0,128.25
2021-07-28 10:28:00,NIFTY29JUL2115600CE,NIFTY29JUL2115600PE,70.65,58.7,129.35
